Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name,PM2.5 Category
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,1,53.5,145,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,2,57.1,152,Unhealthy,61.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,3,59.0,153,Unhealthy,61.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,4,62.7,155,Unhealthy,68.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,5,56.2,151,Unhealthy,47.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,6,51.3,140,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,7,55.2,150,Unhealthy for Sensitive Groups,62.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,8,71.2,159,Unhealthy,87.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,9,71.6,159,Unhealthy,72.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,10,67.8,157,Unhealthy,64.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,11,69.4,158,Unhealthy,71.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,12,67.7,157,Unhealthy,66.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,13,75.8,161,Unhealthy,84.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-01,2022,1,1,14,79.9,164,Unhealthy,84.0,UG/M3,1 Hr,Valid,Unhealthy
