Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,5,0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,6,0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,7,0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,8,0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,9,0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,10,0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,11,77.3,UG/M3,1 Hr,Suspect
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,12,0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,13,0,UG/M3,1 Hr,Invalid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,14,90,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,15,89.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,16,85.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,17,77.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,18,85.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,19,89.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,20,110.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,21,100.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,22,86.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/9/2015,2015,12,9,23,76.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/10/2015,2015,12,10,0,83.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/10/2015,2015,12,10,1,120.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/10/2015,2015,12,10,2,108.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/10/2015,2015,12,10,3,62.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/10/2015,2015,12,10,4,49.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/10/2015,2015,12,10,5,42.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/10/2015,2015,12,10,6,47.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/10/2015,2015,12,10,7,43.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/10/2015,2015,12,10,8,36,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/10/2015,2015,12,10,9,36.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/10/2015,2015,12,10,10,39.3,UG/M3,1 Hr,Valid
