Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,1,114,3,40.8,34.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,2,113,3,40.3,27.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,3,113,3,40.2,30.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,4,113,3,40.5,27.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,5,114,3,40.7,73.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,6,115,3,41.1,41.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,7,116,3,41.6,60.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,8,116,3,41.6,35.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,9,115,3,41.3,30.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,10,118,3,42.3,25,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,11,123,3,44.5,26.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,12,130,3,47.1,30.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,13,133,3,48.5,33,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,14,136,3,49.6,34.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,15,138,3,50.7,37,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,16,146,3,53.9,39.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,17,152,4,57.5,44.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,18,153,4,58.6,54.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,19,154,4,60.6,58.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,20,154,4,60.9,66.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,21,154,4,61.9,81.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,22,155,4,63.2,98.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2016,2016,12,1,23,156,4,65.3,105.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2016,2016,12,2,0,156,4,65.8,68.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2016,2016,12,2,1,157,4,66.3,60.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2016,2016,12,2,2,157,4,66.5,53.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2016,2016,12,2,3,157,4,66.9,108.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2016,2016,12,2,4,158,4,68.2,113.6,UG/M3,1 Hr,Valid
