Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,1,68.9,158,Unhealthy,69.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,2,72.2,160,Unhealthy,75.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,3,81.2,164,Unhealthy,90.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,4,89.4,169,Unhealthy,97.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,5,89.2,168,Unhealthy,89.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,6,90.6,169,Unhealthy,92,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,7,91.4,170,Unhealthy,92.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,8,98.4,173,Unhealthy,108.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,9,101.6,175,Unhealthy,106,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,10,103.7,176,Unhealthy,106.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,11,101,174,Unhealthy,98,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,12,100.2,174,Unhealthy,98.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,13,97.2,173,Unhealthy,90.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,14,94.4,171,Unhealthy,83.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,15,88.9,168,Unhealthy,77.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,16,82.1,165,Unhealthy,71.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,17,76.7,162,Unhealthy,69,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,18,74.4,161,Unhealthy,70.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,19,79.6,163,Unhealthy,88.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,20,87.9,168,Unhealthy,103,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,21,94,171,Unhealthy,105.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,22,101.8,175,Unhealthy,112.5,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/1/2018,2018,1,1,23,115.1,182,Unhealthy,127.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2018,2018,1,2,0,118.5,184,Unhealthy,122.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2018,2018,1,2,1,127.5,188,Unhealthy,135.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2018,2018,1,2,2,130.2,190,Unhealthy,133,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2018,2018,1,2,3,132.1,191,Unhealthy,134.1,UG/M3,1 Hr,Valid
