Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,1,58.8,153,Unhealthy,49,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,2,48.4,133,Unhealthy for Sensitive Groups,38,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,3,49.7,136,Unhealthy for Sensitive Groups,51,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,4,45.8,126,Unhealthy for Sensitive Groups,42,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,5,49.9,136,Unhealthy for Sensitive Groups,54,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,6,56.9,152,Unhealthy,64,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,7,53.4,145,Unhealthy for Sensitive Groups,50,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,8,48.2,132,Unhealthy for Sensitive Groups,43,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,9,40.6,114,Unhealthy for Sensitive Groups,33,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,10,38.3,108,Unhealthy for Sensitive Groups,36,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,11,34.1,97,Moderate,30,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,12,32.5,94,Moderate,31,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,13,29.7,88,Moderate,27,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,14,29.3,87,Moderate,29,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,15,25.1,78,Moderate,21,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,16,24,76,Moderate,23,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2021,2021,12,1,17,25.5,79,Moderate,27,UG/M3,1 Hr,Valid
