Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,1,23.1,74,Moderate,28,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,2,19.5,67,Moderate,16,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,3,15.2,58,Moderate,11,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,4,13.1,53,Moderate,11,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,5,15.5,58,Moderate,18,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,6,16.7,61,Moderate,18,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,7,17.3,62,Moderate,18,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,8,20.1,68,Moderate,23,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,9,17.5,62,Moderate,15,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,10,16.2,60,Moderate,15,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,11,14.6,56,Moderate,13,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,12,14.8,57,Moderate,15,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,13,15.9,59,Moderate,17,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,14,18.4,64,Moderate,21,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,15,17.2,62,Moderate,16,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,16,17.5,62,Moderate,18,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,17,21.1,70,Moderate,25,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,18,25.6,79,Moderate,30,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,19,32.8,95,Moderate,40,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,20,39.9,112,Unhealthy for Sensitive Groups,47,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,21,42.9,119,Unhealthy for Sensitive Groups,46,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,22,38.9,109,Unhealthy for Sensitive Groups,35,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/1/2024,2024,3,1,23,36.9,104,Unhealthy for Sensitive Groups,35,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,0,35.9,102,Unhealthy for Sensitive Groups,35,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,1,35.5,101,Unhealthy for Sensitive Groups,35,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,2,33.7,96,Moderate,32,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,3,33.3,96,Moderate,33,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,4,30.9,91,Moderate,28,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,5,35.3,100,Moderate,41,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,6,34.3,98,Moderate,33,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,7,31.2,91,Moderate,27,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,8,32.8,95,Moderate,35,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,9,32.9,95,Moderate,33,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,10,34.9,99,Moderate,39,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,11,35.3,100,Moderate,36,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,12,36.5,103,Unhealthy for Sensitive Groups,39,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,13,39.6,111,Unhealthy for Sensitive Groups,44,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,14,41.8,117,Unhealthy for Sensitive Groups,45,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,15,43.6,121,Unhealthy for Sensitive Groups,46,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,16,43.8,121,Unhealthy for Sensitive Groups,44,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,17,44.7,124,Unhealthy for Sensitive Groups,46,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,18,50,137,Unhealthy for Sensitive Groups,55,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,19,61.5,154,Unhealthy,73,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,20,71.2,159,Unhealthy,81,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,21,73.1,160,Unhealthy,75,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,22,74.5,161,Unhealthy,76,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/2/2024,2024,3,2,23,71.7,159,Unhealthy,69,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,0,72.7,160,Unhealthy,74,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,1,74.7,161,Unhealthy,77,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,2,76.2,162,Unhealthy,78,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,3,72.4,160,Unhealthy,68,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,4,67.5,157,Unhealthy,61,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,5,66.1,156,Unhealthy,60,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,6,61.9,154,Unhealthy,54,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,7,59.6,153,Unhealthy,55,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,8,58.1,152,Unhealthy,54,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,9,57.4,152,Unhealthy,56,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,10,57.8,152,Unhealthy,59,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,11,53.7,146,Unhealthy for Sensitive Groups,48,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,12,54.6,148,Unhealthy for Sensitive Groups,56,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,13,50.4,138,Unhealthy for Sensitive Groups,45,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,14,48.6,133,Unhealthy for Sensitive Groups,44,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,15,42.9,119,Unhealthy for Sensitive Groups,36,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,16,43,119,Unhealthy for Sensitive Groups,43,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,17,45.4,125,Unhealthy for Sensitive Groups,49,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,18,50.3,137,Unhealthy for Sensitive Groups,58,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,19,58.5,153,Unhealthy,67,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,20,55,149,Unhealthy for Sensitive Groups,51,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,21,52.2,142,Unhealthy for Sensitive Groups,49,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,22,49.8,136,Unhealthy for Sensitive Groups,47,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/3/2024,2024,3,3,23,45.7,126,Unhealthy for Sensitive Groups,41,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,0,42.6,118,Unhealthy for Sensitive Groups,39,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,1,40,112,Unhealthy for Sensitive Groups,37,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,2,35.2,100,Moderate,31,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,3,33.1,95,Moderate,31,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,4,31.5,92,Moderate,30,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,5,25.7,80,Moderate,20,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,6,48.3,133,Unhealthy for Sensitive Groups,71,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,7,62.1,154,Unhealthy,76,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,8,68.6,158,Unhealthy,75,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,9,74.3,161,Unhealthy,80,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,10,74.6,161,Unhealthy,75,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,11,78.3,163,Unhealthy,82,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,12,79.1,163,Unhealthy,80,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,13,91.5,170,Unhealthy,104,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,14,88.3,168,Unhealthy,85,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,15,87.1,167,Unhealthy,86,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,16,87,167,Unhealthy,87,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,17,86.3,167,Unhealthy,86,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,18,99.1,174,Unhealthy,120,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,19,113.1,181,Unhealthy,130,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,20,115.6,182,Unhealthy,119,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,21,117,183,Unhealthy,119,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,22,116.1,182,Unhealthy,116,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/4/2024,2024,3,4,23,116.8,183,Unhealthy,118,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/5/2024,2024,3,5,0,112.1,180,Unhealthy,104,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/5/2024,2024,3,5,1,108.6,178,Unhealthy,102,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/5/2024,2024,3,5,2,108.5,178,Unhealthy,108,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/5/2024,2024,3,5,3,118,183,Unhealthy,135,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/5/2024,2024,3,5,4,121,185,Unhealthy,126,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,3/5/2024,2024,3,5,5,120.1,184,Unhealthy,123,UG/M3,1 Hr,Valid
