Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,1,44.2,122,Unhealthy for Sensitive Groups,35,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,2,40,112,Unhealthy for Sensitive Groups,36,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,3,35.5,101,Unhealthy for Sensitive Groups,31,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,4,34.2,97,Moderate,33,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,5,33.1,95,Moderate,32,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,6,29,87,Moderate,25,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,7,28,84,Moderate,27,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,8,23.5,75,Moderate,19,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,9,23.7,75,Moderate,24,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,10,24.3,77,Moderate,25,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,11,22.6,73,Moderate,21,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,12,24.3,77,Moderate,26,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,13,26,80,Moderate,28,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,14,25.9,80,Moderate,26,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,15,25.9,80,Moderate,26,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,16,24.7,77,Moderate,23,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,17,25.2,79,Moderate,26,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,18,24.4,77,Moderate,23,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,19,25.2,79,Moderate,27,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,20,26.3,81,Moderate,29,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,21,26.8,82,Moderate,28,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,22,26.5,81,Moderate,26,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/1/2023,2023,12,1,23,26.6,81,Moderate,27,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,0,26.7,82,Moderate,27,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,1,26.5,81,Moderate,26,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,2,34.8,99,Moderate,44,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,3,34.4,98,Moderate,34,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,4,34.2,97,Moderate,34,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,5,36.5,103,Unhealthy for Sensitive Groups,39,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,6,39.2,110,Unhealthy for Sensitive Groups,44,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,7,44.2,122,Unhealthy for Sensitive Groups,49,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,8,51.8,141,Unhealthy for Sensitive Groups,59,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,9,51.4,140,Unhealthy for Sensitive Groups,51,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,10,52.2,142,Unhealthy for Sensitive Groups,53,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,11,54.1,147,Unhealthy for Sensitive Groups,56,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,12,54.5,148,Unhealthy for Sensitive Groups,55,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,13,56.2,151,Unhealthy,59,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,14,59.5,153,Unhealthy,63,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,15,57.8,152,Unhealthy,56,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/2/2023,2023,12,2,16,57,152,Unhealthy,56,UG/M3,1 Hr,Valid
