Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,1/2/2024,2024,1,2,15,-999,-999,N/A,29,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2024,2024,1,2,16,30.5,90,Moderate,32,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2024,2024,1,2,17,32.8,95,Moderate,36,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2024,2024,1,2,18,40.1,112,Unhealthy for Sensitive Groups,48,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2024,2024,1,2,19,43,119,Unhealthy for Sensitive Groups,47,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2024,2024,1,2,20,45.1,125,Unhealthy for Sensitive Groups,48,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2024,2024,1,2,21,44.2,122,Unhealthy for Sensitive Groups,43,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2024,2024,1,2,22,45.3,125,Unhealthy for Sensitive Groups,47,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/2/2024,2024,1,2,23,44.8,124,Unhealthy for Sensitive Groups,44,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,0,43.2,120,Unhealthy for Sensitive Groups,41,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,1,43.5,121,Unhealthy for Sensitive Groups,44,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,2,42.9,119,Unhealthy for Sensitive Groups,42,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,3,41.4,116,Unhealthy for Sensitive Groups,38,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,4,41.2,115,Unhealthy for Sensitive Groups,39,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,5,42.4,118,Unhealthy for Sensitive Groups,45,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,6,42.6,118,Unhealthy for Sensitive Groups,44,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,7,29.5,88,Moderate,16,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,8,21.2,70,Moderate,13,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,9,20.1,68,Moderate,19,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,10,22,72,Moderate,24,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,11,24.5,77,Moderate,27,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,12,27.2,83,Moderate,30,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,13,25.6,79,Moderate,24,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,14,22.8,74,Moderate,20,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,15,23.4,75,Moderate,24,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,16,22.7,73,Moderate,22,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,17,27.3,83,Moderate,32,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,18,28.6,86,Moderate,30,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,19,35.8,102,Unhealthy for Sensitive Groups,43,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,20,49.4,135,Unhealthy for Sensitive Groups,63,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,21,51.7,141,Unhealthy for Sensitive Groups,54,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,22,60.3,153,Unhealthy,69,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/3/2024,2024,1,3,23,68.6,158,Unhealthy,77,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,0,60.3,153,Unhealthy,52,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,1,56.6,152,Unhealthy,53,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,2,57.8,152,Unhealthy,59,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,3,52.4,143,Unhealthy for Sensitive Groups,47,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,4,62.7,155,Unhealthy,73,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,5,53.8,146,Unhealthy for Sensitive Groups,45,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,6,52.9,144,Unhealthy for Sensitive Groups,51,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,7,51,139,Unhealthy for Sensitive Groups,48,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,8,44.1,122,Unhealthy for Sensitive Groups,38,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,9,40,112,Unhealthy for Sensitive Groups,36,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,10,41,115,Unhealthy for Sensitive Groups,42,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,11,45.5,126,Unhealthy for Sensitive Groups,50,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,12,52.7,143,Unhealthy for Sensitive Groups,60,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,13,59.8,153,Unhealthy,67,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,14,53.4,145,Unhealthy for Sensitive Groups,47,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,15,47.7,131,Unhealthy for Sensitive Groups,42,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,16,46.6,128,Unhealthy for Sensitive Groups,45,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,17,51.4,140,Unhealthy for Sensitive Groups,57,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,18,65.8,156,Unhealthy,80,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,19,77.9,163,Unhealthy,90,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,20,75.9,162,Unhealthy,74,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,21,68.9,158,Unhealthy,62,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,22,66.9,157,Unhealthy,65,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/4/2024,2024,1,4,23,61.9,154,Unhealthy,57,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/5/2024,2024,1,5,0,60.4,154,Unhealthy,59,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/5/2024,2024,1,5,1,56.2,151,Unhealthy,52,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/5/2024,2024,1,5,2,57.1,152,Unhealthy,58,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/5/2024,2024,1,5,3,52.5,143,Unhealthy for Sensitive Groups,48,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/5/2024,2024,1,5,4,54.8,149,Unhealthy for Sensitive Groups,57,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/5/2024,2024,1,5,5,58.1,152,Unhealthy,62,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/5/2024,2024,1,5,6,59.9,153,Unhealthy,62,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/5/2024,2024,1,5,7,63.7,155,Unhealthy,72,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,1/5/2024,2024,1,5,8,89,168,Unhealthy,112,UG/M3,1 Hr,Valid
